Species	Molecular weight	Collision diameter	kb* inverse  Collision energy (k/eps)
nc6ket36	0.132	6.548e-10	0.00214132762312634
nc6ket14	0.132	6.548e-10	0.00214132762312634
nc6ket31	0.132	6.548e-10	0.00214132762312634
c7h15ooh-3-2	0.132	5.99e-10	0.00182865502422968
nc6ket35	0.132	6.548e-10	0.00214132762312634
nc6ket21	0.132	6.548e-10	0.00214132762312634
c7h15o2h-4	0.132	6.317e-10	0.0017825311942959
c5h81ooh5-4o2	0.133	5.33e-10	0.00222380359366661
c5h81ooh5-3o2	0.133	5.33e-10	0.00222380359366661
c5h10ooh2-4o2	0.135	5.664e-10	0.00191131498470948
c5h10ooh2-1o2	0.135	5.664e-10	0.00191131498470948
c10h19-1-2	0.139	6.4e-10	0.00153176888671037
c10h20-4	0.14	6.59e-10	0.00143225436837582
c10h20-1-2	0.14	6.4e-10	0.00153176888671037
c10h20-1	0.14	6.59e-10	0.00143225436837582
c7h15chco	0.14	6.24e-10	0.00187090739008419
c10h21-2b	0.141	6.4e-10	0.00153176888671037
c10h21-2f	0.141	6.4e-10	0.00153176888671037
c10h21-4	0.141	6.69e-10	0.00141860069227714
c10h21-1	0.141	6.69e-10	0.00141860069227714
ic5h11coc3h6p	0.141	6.4e-10	0.00153176888671037
nc7h15coch2	0.141	6.68e-10	0.00145749223885383
c10h22-2	0.142	6.4e-10	0.00153176888671037
c9o2-5	0.142	6.49e-10	0.00151768098345728
c9h18o3-5-2	0.142	6.4e-10	0.00153176888671037
c9o1-2	0.142	6.49e-10	0.00151768098345728
c9h18o5-6-2	0.142	6.4e-10	0.00153176888671037
c9h18o4-8-2	0.142	6.4e-10	0.00153176888671037
c9o4-6	0.142	6.49e-10	0.00151768098345728
c9o3-4	0.142	6.49e-10	0.00151768098345728
c9h18o5-8-2	0.142	6.4e-10	0.00153176888671037
c9h18o7-8-2	0.142	6.4e-10	0.00153176888671037
c9h18o4-6-2	0.142	6.4e-10	0.00153176888671037
c9h19o-7-2	0.143	6.4e-10	0.00153176888671037
c9h19o-1	0.143	6.49e-10	0.00151768098345728
c9h19o-4-2	0.143	6.4e-10	0.00153176888671037
c8ooh3-2f	0.145	6.24e-10	0.00167768345468577
c8ooh5-2f	0.145	6.24e-10	0.00167768345468577
c8h17oo-2-2	0.145	6.24e-10	0.00167768345468577
c8ooh2-2c	0.145	6.24e-10	0.00167768345468577
c8ooh2-6	0.145	6.27e-10	0.00163174727498205
c8ooh5-2d	0.145	6.24e-10	0.00167768345468577
c8ooh3-7	0.145	6.27e-10	0.00163174727498205
c8ooh3-6	0.145	6.27e-10	0.00163174727498205
c8ooh7-2c	0.145	6.24e-10	0.00167768345468577
c8h17oo-4-2	0.145	6.24e-10	0.00167768345468577
c8ooh2-1	0.145	6.27e-10	0.00163174727498205
c8h17o2-1	0.145	6.27e-10	0.00163174727498205
c8ooh6-2g	0.145	6.24e-10	0.00167768345468577
c8ooh3-2b	0.145	6.24e-10	0.00167768345468577
c8ooh2-2a	0.145	6.24e-10	0.00167768345468577
c8ooh4-3	0.145	6.27e-10	0.00163174727498205
c8ooh4-2g	0.145	6.24e-10	0.00167768345468577
nc7ket12	0.146	6.506e-10	0.00172028212626871
nc7ket26	0.146	6.506e-10	0.00172028212626871
c8h17ooh-4-2	0.146	6.24e-10	0.00167768345468577
c7ket1-5-2	0.146	5.99e-10	0.00182865502422968
c7ket1-1-2	0.146	5.99e-10	0.00182865502422968
c7ket4-3-2	0.146	5.99e-10	0.00182865502422968
c7ket4-2-2	0.146	5.99e-10	0.00182865502422968
c8h17ooh-1-2	0.146	6.24e-10	0.00167768345468577
c7ket3-4-2	0.146	5.99e-10	0.00182865502422968
c7ket1-2-2	0.146	5.99e-10	0.00182865502422968
c8ooh1-2	0.146	6.27e-10	0.00163174727498205
nc7ket14	0.146	6.506e-10	0.00172028212626871
nc7ket21	0.146	6.506e-10	0.00172028212626871
nc7ket36	0.146	6.506e-10	0.00172028212626871
c6h101ooh4-5o2	0.147	6.436e-10	0.00147677985199712
c6h101ooh3-4o2	0.147	6.436e-10	0.00147677985199712
c6h102ooh5-6o2	0.147	6.436e-10	0.00147677985199712
c6h101ooh4-3o2	0.147	6.436e-10	0.00147677985199712
c6h101ooh6-5o2	0.147	6.436e-10	0.00147677985199712
c6h12ooh3-2o2	0.149	6.436e-10	0.00147677985199712
c6h12ooh3-5o2	0.149	6.436e-10	0.00147677985199712
c6h12ooh2-6o2	0.149	6.436e-10	0.00147677985199712
c6h12ooh1-2o2	0.149	6.436e-10	0.00147677985199712
c11h22-2-2	0.154	6.68e-10	0.00145747099632717
c11h22-4	0.154	6.73e-10	0.00133591610446864
c11h22-4-2	0.154	6.68e-10	0.00145747099632717
c11h22-6-2	0.154	6.68e-10	0.00145747099632717
ic9h19co	0.155	6.68e-10	0.00145749223885383
ic6h13coc3h6p	0.155	6.68e-10	0.00145749223885383
ic8h17coch2	0.155	6.68e-10	0.00145749223885383
c11h23-3	0.155	6.8e-10	0.0013259082471493
c11h23-4	0.155	6.8e-10	0.0013259082471493
c11h23-2h	0.155	6.68e-10	0.00145747099632717
c11h23-2a	0.155	6.68e-10	0.00145747099632717
c10o2-4	0.156	6.69e-10	0.00141860069227714
c10h20o6-9-2	0.156	6.4e-10	0.00153176888671037
c10h20o3-5-2	0.156	6.4e-10	0.00153176888671037
c10h20o2-6-2	0.156	6.4e-10	0.00153176888671037
c10h20o1-2-2	0.156	6.4e-10	0.00153176888671037
c10h20o5-8-2	0.156	6.4e-10	0.00153176888671037
c10h20o3-4-2	0.156	6.4e-10	0.00153176888671037
c10h20o3-7-2	0.156	6.4e-10	0.00153176888671037
